latitude,longitude,time_rel,gpsspeed
38.003795,-122.27971,134038,68.99516385
38.004018,-122.279503,134039,68.98995551
38.004241,-122.279294,134040,68.96339332
38.004463,-122.279087,134041,68.92366173
38.004688,-122.278883,134042,68.87559667
38.004913,-122.278678,134043,68.82440596
38.005139,-122.278471,134044,68.77663704
38.005364,-122.278259,134045,68.73854021
38.005588,-122.278047,134046,68.71420836
38.005813,-122.277839,134047,68.70289794
38.006038,-122.277633,134048,68.69694535
38.006264,-122.277426,134049,68.68481766
38.006488,-122.277215,134050,68.65952061
38.006712,-122.277004,134051,68.62536952
38.006934,-122.276796,134052,68.59493859
38.007158,-122.27659,134053,68.57604017
38.007381,-122.276384,134054,68.56190357
38.007604,-122.276178,134055,68.53586235
38.007827,-122.275969,134056,68.48348192
38.00805,-122.275762,134057,68.39918169
38.008272,-122.275558,134058,68.28467283
38.008494,-122.275355,134059,68.14620535
38.008716,-122.275155,134060,67.99799061
38.008936,-122.274951,134061,67.86651697
38.009155,-122.274743,134062,67.78296031
38.009372,-122.274537,134063,67.76644268
38.009588,-122.274331,134064,67.81517816
38.009803,-122.274127,134065,67.91168143
38.010023,-122.273924,134066,68.03370535
38.010242,-122.273718,134067,68.16309527
38.010461,-122.27351,134068,68.28809535
38.010681,-122.273304,134069,68.39873521
38.010902,-122.2731,134070,68.48325869
38.011123,-122.272896,134071,68.53281181
38.011345,-122.272692,134072,68.55014786
38.011567,-122.272487,134073,68.55185911
38.011791,-122.272277,134074,68.55810897
38.012013,-122.272067,134075,68.57641217
38.012237,-122.271859,134076,68.59672428
38.01246,-122.271653,134077,68.60230459
38.012686,-122.271449,134078,68.58080205
38.012911,-122.271248,134079,68.52700805
38.013135,-122.271046,134080,68.43958293
38.013359,-122.270839,134081,68.3153272
38.013583,-122.270627,134082,68.15394341
38.013805,-122.270417,134083,67.97537205
38.014026,-122.27021,134084,67.82395829
38.014248,-122.270007,134085,67.74635394
38.014468,-122.269807,134086,67.76235069
38.014688,-122.269606,134087,67.85022244
38.014909,-122.269403,134088,67.9595972
38.015128,-122.269196,134089,68.04687363
38.015348,-122.268988,134090,68.09843561
38.015568,-122.268781,134091,68.12254228
38.015786,-122.268575,134092,68.13214024
38.016005,-122.26837,134093,68.13541396
38.016224,-122.268166,134094,68.13362827
38.016443,-122.267961,134095,68.1267087
38.016662,-122.267755,134096,68.12045878
38.016881,-122.267545,134097,68.12916428
38.017099,-122.267335,134098,68.17083127
38.017317,-122.267125,134099,68.25260257
38.017536,-122.266918,134100,68.36019222
38.017756,-122.266713,134101,68.46800478
38.017977,-122.26651,134102,68.55982008
38.018201,-122.266305,134103,68.63816829
